Owner,League,Year,Week,Player_ID,Player,Position,NFL,Fantasy,Points,Opponent,Age,Source_Week
joshjr11,Borehamwood (2025),2025,1,10229,Rashee Rice,WR,KC,BN,0.00,benjlev,25,1
joshjr11,Borehamwood (2025),2025,1,12490,Bhayshul Tuten,RB,JAX,BN,1.10,benjlev,23,1
joshjr11,Borehamwood (2025),2025,1,12514,Emeka Egbuka,WR,TB,BN,21.60,benjlev,22,1
joshjr11,Borehamwood (2025),2025,1,12526,Tetairoa McMillan,WR,CAR,FLEX,9.30,benjlev,22,1
joshjr11,Borehamwood (2025),2025,1,12533,Jacory Croskey-Merritt,RB,WAS,BN,14.20,benjlev,24,1
joshjr11,Borehamwood (2025),2025,1,4137,James Conner,RB,ARI,RB,12.40,benjlev,30,1
joshjr11,Borehamwood (2025),2025,1,6770,Joe Burrow,QB,CIN,QB,10.82,benjlev,28,1
joshjr11,Borehamwood (2025),2025,1,7525,DeVonta Smith,WR,PHI,WR,3.10,benjlev,26,1
joshjr11,Borehamwood (2025),2025,1,7528,Najee Harris,RB,LAC,BN,1.50,benjlev,27,1
joshjr11,Borehamwood (2025),2025,1,7564,Ja'Marr Chase,WR,CIN,WR,3.60,benjlev,25,1
joshjr11,Borehamwood (2025),2025,1,8112,Drake London,WR,ATL,WR,9.50,benjlev,23,1
joshjr11,Borehamwood (2025),2025,1,8130,Trey McBride,TE,ARI,TE,9.10,benjlev,25,1
joshjr11,Borehamwood (2025),2025,1,8259,Cameron Dicker,K,LAC,K,10.50,benjlev,25,1
joshjr11,Borehamwood (2025),2025,1,9226,De'Von Achane,RB,MIA,RB,15.00,benjlev,23,1
joshjr11,Borehamwood (2025),2025,1,9500,Josh Downs,WR,IND,BN,2.20,benjlev,23,1
joshjr11,Borehamwood (2025),2025,1,NE,New England Patriots,DEF,NE,DEF,8.00,benjlev,0,1
benjlev,Borehamwood (2025),2025,1,11628,Marvin Harrison,WR,ARI,WR,15.60,joshjr11,22,1
benjlev,Borehamwood (2025),2025,1,11635,Ladd McConkey,WR,LAC,WR,10.40,joshjr11,23,1
benjlev,Borehamwood (2025),2025,1,11655,Tyrone Tracy,RB,NYG,BN,4.50,joshjr11,25,1
benjlev,Borehamwood (2025),2025,1,1466,Travis Kelce,TE,KC,TE,11.70,joshjr11,35,1
benjlev,Borehamwood (2025),2025,1,1945,Chris Boswell,K,PIT,K,15.60,joshjr11,34,1
benjlev,Borehamwood (2025),2025,1,3198,Derrick Henry,RB,BAL,RB,28.70,joshjr11,31,1
benjlev,Borehamwood (2025),2025,1,3321,Tyreek Hill,WR,MIA,WR,6.00,joshjr11,31,1
benjlev,Borehamwood (2025),2025,1,4199,Aaron Jones,RB,MIN,BN,14.20,joshjr11,30,1
benjlev,Borehamwood (2025),2025,1,4866,Saquon Barkley,RB,PHI,RB,16.40,joshjr11,28,1
benjlev,Borehamwood (2025),2025,1,4881,Lamar Jackson,QB,BAL,QB,33.36,joshjr11,28,1
benjlev,Borehamwood (2025),2025,1,4892,Baker Mayfield,QB,TB,BN,28.58,joshjr11,30,1
benjlev,Borehamwood (2025),2025,1,5012,Mark Andrews,TE,BAL,BN,1.00,joshjr11,29,1
benjlev,Borehamwood (2025),2025,1,5892,David Montgomery,RB,DET,BN,6.30,joshjr11,27,1
benjlev,Borehamwood (2025),2025,1,8155,Breece Hall,RB,NYJ,FLEX,15.50,joshjr11,24,1
benjlev,Borehamwood (2025),2025,1,9756,Jordan Addison,WR,MIN,BN,0.00,joshjr11,23,1
benjlev,Borehamwood (2025),2025,1,SF,San Francisco 49ers,DEF,SF,DEF,10.00,joshjr11,0,1
dpol,Borehamwood (2025),2025,1,11539,Jake Bates,K,DET,K,7.00,drjkay,26,1
dpol,Borehamwood (2025),2025,1,12481,Cam Skattebo,RB,NYG,BN,1.90,drjkay,23,1
dpol,Borehamwood (2025),2025,1,12501,Matthew Golden,WR,GB,BN,2.60,drjkay,21,1
dpol,Borehamwood (2025),2025,1,12527,Ashton Jeanty,RB,LV,RB,11.00,drjkay,21,1
dpol,Borehamwood (2025),2025,1,2133,Davante Adams,WR,LAR,WR,7.10,drjkay,32,1
dpol,Borehamwood (2025),2025,1,4037,Chris Godwin,WR,TB,BN,0.00,drjkay,29,1
dpol,Borehamwood (2025),2025,1,4046,Patrick Mahomes,QB,KC,QB,28.02,drjkay,29,1
dpol,Borehamwood (2025),2025,1,5844,T.J. Hockenson,TE,MIN,TE,3.00,drjkay,27,1
dpol,Borehamwood (2025),2025,1,5859,A.J. Brown,WR,PHI,WR,1.30,drjkay,27,1
dpol,Borehamwood (2025),2025,1,6783,Jerry Jeudy,WR,CLE,BN,9.10,drjkay,26,1
dpol,Borehamwood (2025),2025,1,7049,Jauan Jennings,WR,SF,BN,2.60,drjkay,27,1
dpol,Borehamwood (2025),2025,1,8138,James Cook,RB,BUF,FLEX,18.70,drjkay,25,1
dpol,Borehamwood (2025),2025,1,9221,Jahmyr Gibbs,RB,DET,RB,10.00,drjkay,23,1
dpol,Borehamwood (2025),2025,1,9488,Jaxon Smith-Njigba,WR,SEA,WR,14.90,drjkay,23,1
dpol,Borehamwood (2025),2025,1,9997,Zay Flowers,WR,BAL,BN,24.60,drjkay,24,1
dpol,Borehamwood (2025),2025,1,ARI,Arizona Cardinals,DEF,ARI,DEF,6.00,drjkay,0,1
saulgoat,Borehamwood (2025),2025,1,11566,Jayden Daniels,QB,WAS,QB,22.12,AlastairL,24,1
saulgoat,Borehamwood (2025),2025,1,11584,Bucky Irving,RB,TB,RB,12.50,AlastairL,22,1
saulgoat,Borehamwood (2025),2025,1,11589,Trey Benson,RB,ARI,BN,8.00,AlastairL,22,1
saulgoat,Borehamwood (2025),2025,1,11632,Malik Nabers,WR,NYG,WR,9.60,AlastairL,21,1
saulgoat,Borehamwood (2025),2025,1,12457,Jaydon Blue,RB,DAL,BN,0.00,AlastairL,21,1
saulgoat,Borehamwood (2025),2025,1,12518,Tyler Warren,TE,IND,TE,11.40,AlastairL,23,1
saulgoat,Borehamwood (2025),2025,1,12529,TreVeyon Henderson,RB,NE,RB,8.10,AlastairL,22,1
saulgoat,Borehamwood (2025),2025,1,3678,Wil Lutz,K,DEN,K,9.20,AlastairL,30,1
saulgoat,Borehamwood (2025),2025,1,4981,Calvin Ridley,WR,TEN,BN,4.70,AlastairL,30,1
saulgoat,Borehamwood (2025),2025,1,5045,Courtland Sutton,WR,DEN,BN,15.10,AlastairL,29,1
saulgoat,Borehamwood (2025),2025,1,6801,Tee Higgins,WR,CIN,WR,4.80,AlastairL,26,1
saulgoat,Borehamwood (2025),2025,1,7526,Jaylen Waddle,WR,MIA,FLEX,5.00,AlastairL,26,1
saulgoat,Borehamwood (2025),2025,1,7543,Travis Etienne,RB,JAX,BN,17.10,AlastairL,26,1
saulgoat,Borehamwood (2025),2025,1,7569,Nico Collins,WR,HOU,WR,4.00,AlastairL,26,1
saulgoat,Borehamwood (2025),2025,1,8408,Jordan Mason,RB,MIN,BN,8.00,AlastairL,26,1
saulgoat,Borehamwood (2025),2025,1,PIT,Pittsburgh Steelers,DEF,PIT,DEF,2.00,AlastairL,0,1
drjkay,Borehamwood (2025),2025,1,11563,Bo Nix,QB,DEN,QB,8.84,dpol,25,1
drjkay,Borehamwood (2025),2025,1,12489,RJ Harvey,RB,DEN,BN,7.40,dpol,24,1
drjkay,Borehamwood (2025),2025,1,12504,Kaleb Johnson,RB,PIT,BN,-0.20,dpol,21,1
drjkay,Borehamwood (2025),2025,1,12507,Omarion Hampton,RB,LAC,RB,7.10,dpol,22,1
drjkay,Borehamwood (2025),2025,1,12512,Quinshon Judkins,RB,CLE,BN,0.00,dpol,21,1
drjkay,Borehamwood (2025),2025,1,12530,Travis Hunter,DB,JAX,BN,6.30,dpol,22,1
drjkay,Borehamwood (2025),2025,1,4217,George Kittle,TE,SF,TE,10.50,dpol,31,1
drjkay,Borehamwood (2025),2025,1,4988,Nick Chubb,RB,HOU,BN,6.00,dpol,29,1
drjkay,Borehamwood (2025),2025,1,5846,DK Metcalf,WR,PIT,WR,10.30,dpol,27,1
drjkay,Borehamwood (2025),2025,1,6794,Justin Jefferson,WR,MIN,FLEX,12.80,dpol,25,1
